date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2026-01-21 00:00:00.000 UTC,ethereum,2158000,-801300,126794778,-44193740.766728245,82601037.23327175
2026-01-21 00:00:00.000 UTC,polygon,11584591,-15326267.094033608,614664127,-415041050.0936642,199623076.90633577
2026-01-21 00:00:00.000 UTC,avalanche,440700,-950099,136149400,-50369668.38398158,85779731.61601843
2026-01-22 00:00:00.000 UTC,polygon,10264704,-12534388,624928831,-427575438.0936642,197353392.90633577
2026-01-22 00:00:00.000 UTC,avalanche,3611614,-1022571,139761014,-51392239.38398158,88368774.61601843
2026-01-22 00:00:00.000 UTC,ethereum,2771000,-2043887,129565778,-46237627.766728245,83328150.23327175
2026-01-23 00:00:00.000 UTC,avalanche,115000,-1505000,139876014,-52897239.38398158,86978774.61601843
2026-01-23 00:00:00.000 UTC,ethereum,3870200,-1541642,133435978,-47779269.766728245,85656708.23327175
2026-01-23 00:00:00.000 UTC,polygon,12139509,-13132798,637068340,-440708236.0936642,196360103.90633577
2026-01-24 00:00:00.000 UTC,ethereum,934000,-1729922,134369978,-49509191.766728245,84860786.23327175
2026-01-24 00:00:00.000 UTC,polygon,10888234,-2462845,647956574,-443171081.0936642,204785492.90633577
2026-01-24 00:00:00.000 UTC,avalanche,603000,-1013300,140479014,-53910539.38398158,86568474.61601843
2026-01-25 00:00:00.000 UTC,polygon,10562506,-8657149,658519080,-451828230.0936642,206690849.90633577
